
File: Scarab, Resource 0, Type: CODE
Classic Jump Table Format; Above A5 size = $670, Below A5 size = $6A68
Jump Table length = $650, Offset from A5 = $20, 202 entries.
Entry   A5_Offset   Seg_Offset   Code
    1:   $000020     $000008     MOVE.W    #$0001,-(A7)	_LoadSeg  	; _start
    2:   $000028     $000130     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon16
    3:   $000030     $000144     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon17
    4:   $000038     $000158     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon18
    5:   $000040     $000174     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon19
    6:   $000048     $0001AA     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon20
    7:   $000050     $0001CA     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon21
    8:   $000058     $0001EC     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon22
    9:   $000060     $00020C     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon23
   10:   $000068     $0003EC     MOVE.W    #$0001,-(A7)	_LoadSeg  	; code1-anon24
   11:   $000070     $0012A4     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon2
   12:   $000078     $001416     MOVE.W    #$0002,-(A7)	_LoadSeg  	; Throw
   13:   $000080     $00184E     MOVE.W    #$0002,-(A7)	_LoadSeg  	; InsInven
   14:   $000088     $001898     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon5
   15:   $000090     $0018B4     MOVE.W    #$0002,-(A7)	_LoadSeg  	; NewInven
   16:   $000098     $00192E     MOVE.W    #$0002,-(A7)	_LoadSeg  	; SelInven
   17:   $0000A0     $00256C     MOVE.W    #$0002,-(A7)	_LoadSeg  	; FlipTopStat
   18:   $0000A8     $0025DE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; mySetScroll
   19:   $0000B0     $002600     MOVE.W    #$0002,-(A7)	_LoadSeg  	; myScroll
   20:   $0000B8     $00284C     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon25
   21:   $0000C0     $002822     MOVE.W    #$0002,-(A7)	_LoadSeg  	; mySetCtlMax
   22:   $0000C8     $0028CE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; AddIn
   23:   $0000D0     $002A76     MOVE.W    #$0002,-(A7)	_LoadSeg  	; TypeInList
   24:   $0000D8     $002926     MOVE.W    #$0002,-(A7)	_LoadSeg  	; AddThing
   25:   $0000E0     $0029C0     MOVE.W    #$0002,-(A7)	_LoadSeg  	; DelThing
   26:   $0000E8     $002A06     MOVE.W    #$0002,-(A7)	_LoadSeg  	; FlagInList
   27:   $0000F0     $002AAC     MOVE.W    #$0002,-(A7)	_LoadSeg  	; TypeNum
   28:   $0000F8     $002B0A     MOVE.W    #$0002,-(A7)	_LoadSeg  	; PassTime
   29:   $000100     $002CD4     MOVE.W    #$0002,-(A7)	_LoadSeg  	; DelRAEvent
   30:   $000108     $002BBE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; AddRAEvent
   31:   $000110     $002D70     MOVE.W    #$0002,-(A7)	_LoadSeg  	; FuncInEvents
   32:   $000118     $002DBE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; ThingInEvents
   33:   $000120     $002E54     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon30
   34:   $000128     $002E9E     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon31
   35:   $000130     $002EEE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; view
   36:   $000138     $00478A     MOVE.W    #$0002,-(A7)	_LoadSeg  	; MapMe
   37:   $000140     $001CA4     MOVE.W    #$0002,-(A7)	_LoadSeg  	; main
   38:   $000148     $0019A2     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon6
   39:   $000150     $001B0C     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon8
   40:   $000158     $001B1A     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon9
   41:   $000160     $001B2E     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon10
   42:   $000168     $001B40     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon11
   43:   $000170     $001B52     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon12
   44:   $000178     $001B64     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon13
   45:   $000180     $001B76     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon14
   46:   $000188     $001B88     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon15
   47:   $000190     $001B9A     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon16
   48:   $000198     $001BAC     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon17
   49:   $0001A0     $001BBE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon18
   50:   $0001A8     $001BD0     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon19
   51:   $0001B0     $001C94     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon23
   52:   $0001B8     $001C9C     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon24
   53:   $0001C0     $000786     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon0
   54:   $0001C8     $000BFE     MOVE.W    #$0002,-(A7)	_LoadSeg  	; code2-anon1
   55:   $0001D0     $000C46     MOVE.W    #$0002,-(A7)	_LoadSeg  	; youfound
   56:   $0001D8     $00119A     MOVE.W    #$0002,-(A7)	_LoadSeg  	; FlashButton
   57:   $0001E0     $0011E4     MOVE.W    #$0002,-(A7)	_LoadSeg  	; SetSpoor
   58:   $0001E8     $000000     MOVE.W    #$0002,-(A7)	_LoadSeg  	; AnimalMove
   59:   $0001F0     $0003EC     MOVE.W    #$0002,-(A7)	_LoadSeg  	; InitAnimal
   60:   $0001F8     $000470     MOVE.W    #$0002,-(A7)	_LoadSeg  	; StepOnAnimal
   61:   $000200     $000566     MOVE.W    #$0002,-(A7)	_LoadSeg  	; WakeyTime
   62:   $000208     $00053A     MOVE.W    #$0002,-(A7)	_LoadSeg  	; SleepyTime
   63:   $000210     $000654     MOVE.W    #$0002,-(A7)	_LoadSeg  	; StopAnimal
   64:   $000218     $0005DC     MOVE.W    #$0002,-(A7)	_LoadSeg  	; NetIt
   65:   $000220     $0007D6     MOVE.W    #$0003,-(A7)	_LoadSeg  	; ShowThings
   66:   $000228     $0007B6     MOVE.W    #$0003,-(A7)	_LoadSeg  	; ShowScroll
   67:   $000230     $000BA0     MOVE.W    #$0003,-(A7)	_LoadSeg  	; PickFilter
   68:   $000238     $0003A8     MOVE.W    #$0003,-(A7)	_LoadSeg  	; pickup
   69:   $000240     $0001FC     MOVE.W    #$0003,-(A7)	_LoadSeg  	; code3-anon1
   70:   $000248     $0002A0     MOVE.W    #$0003,-(A7)	_LoadSeg  	; LetGoOf
   71:   $000250     $000000     MOVE.W    #$0003,-(A7)	_LoadSeg  	; binocs
   72:   $000258     $0001EC     MOVE.W    #$0003,-(A7)	_LoadSeg  	; code3-anon0
   73:   $000260     $000000     MOVE.W    #$0005,-(A7)	_LoadSeg  	; monkey
   74:   $000268     $000000     MOVE.W    #$0006,-(A7)	_LoadSeg  	; panther
   75:   $000270     $000000     MOVE.W    #$0007,-(A7)	_LoadSeg  	; bullwhip
   76:   $000278     $000000     MOVE.W    #$0008,-(A7)	_LoadSeg  	; Adder
   77:   $000280     $000000     MOVE.W    #$000B,-(A7)	_LoadSeg  	; Notice
   78:   $000288     $000000     MOVE.W    #$000E,-(A7)	_LoadSeg  	; snakecure
   79:   $000290     $000000     MOVE.W    #$0011,-(A7)	_LoadSeg  	; plank
   80:   $000298     $000000     MOVE.W    #$0012,-(A7)	_LoadSeg  	; net
   81:   $0002A0     $000216     MOVE.W    #$0012,-(A7)	_LoadSeg  	; usenet
   82:   $0002A8     $000000     MOVE.W    #$0013,-(A7)	_LoadSeg  	; code19-anon0
   83:   $0002B0     $00008E     MOVE.W    #$0013,-(A7)	_LoadSeg  	; code19-anon1
